review_uuid,review,sentiment
7763191a-c8d0-4ecb-b017-d10e2ff7e81b,camera quality is very very poor not look like that it is apple product waste of money,Negative
382b47c6-c42c-48b9-b5ce-a1fcf6390017,leaking from the big neck cap whike mixing the shakedidnt expected that,negative
53d8d5cf-d78f-4463-9808-b58415124428,performance not well its taking too much time around 50 to 55 minutes,negative
87c819bb-2fb4-4cdf-897f-6ff9a1556923,not better but okay,Negative
7f27e3b5-1368-4a1c-9dc4-332c07fcd3d0,product quality is very poor its made of some smelly rubber this is surely not a football but some cheap quality rubber ball made as football product quality 2 starsdelivery again rocks i got this product in very short time,negative
af7d64c9-da55-4515-9dd0-68630bfb9552,very excellent product,positive
cb15fc26-8518-4a47-aed0-7fa59c1704e9,not worth for the price low quality,negative
c5385f5b-db4e-44b5-b565-83a8f41f2871,useless one not even1 used once ,negative
ca52992e-7c50-48b3-bc2f-7d93b7e634b9,nice,Positive
fbb4a191-38d6-4b86-8c4a-d43886612e8c,good,
4a5449ec-9fa4-4487-87bf-3913db3beffc,sound and bass quality is very poor i want to return this product ,Negative
d50ede44-9e2a-41d7-9173-39031c5e52d6,very good,positive
6e060b24-0576-4b4c-bc22-4a15383d2996,i am feeling very well,positive
30ef302b-ae4b-4811-9b5e-3756a89e36b9,power backup could have been better takes too much time for charging build quality is great,positive
9574d406-3e82-4f73-a28d-886c1d6de672,good,Positive
9ca44865-0e21-4fab-8b4c-c402d285ced8,super slightly body damaged,negative
4cd7832a-38e9-41f9-929f-7d1a700a662f,very nice,positive
8d0292f8-11e8-434d-ac9f-f752386927c6,it doesnt have proper bottle holder its not ment as per indian needs cant utilise space properly,Negative
feb4c65c-97d1-42dc-8002-1b4b4b485fbb,handle is nt goodfood ready donot switch off this steamer,positive
2eea0436-b4dc-4d24-a8a6-e3b8c5aeb034,received damaged product and no replacement also for this product,Negative
f502943a-9181-4907-88a6-225a1fc87ea9,not ok,negative
ecaf59e6-1a85-43ce-b8c3-92b1b772a85d,very bad product waste of money bad in frame and hate the almunium frame of cycle,negative
336f4606-2543-4004-8e79-887ffc94a5fd,best for honor play look like a original charger,positive
d0630c40-58a3-4471-9fb5-aa47909b5a99,worth for money,positive
