review_uuid,review
bd649b56-653e-47b6-82a4-22ed7d6631d3,very bad
53c64956-156f-4ad1-9bb6-85f95d40c198,very good 
d56c2d26-296f-4e6e-b9f9-516d08f78cad,waste product dont buy
7d2f7a42-a49e-474e-b2bd-4ca7159c4017,nice battery and fast charging
1717eae1-06f1-45bc-826b-35eb2fd3cc5f,product works great large steel jar was little efficient to grind and noise was high when product runs that was the only negative comments other than thatatta kneeding was very goodfrench fries making blades are goodblending was goodbeater works greatjuicer jar works greatcitrus juicer also very goodonly noise and mid size steel jar are negative point
316b36c4-ea24-47e7-a953-2030b5be393c,very bad
cdc6c9c2-8ddb-4491-a0a5-01a91ae1182f,best quality
3f209466-d091-4e57-9d23-f810fec2aa25,good supar coiling
2a4f34e2-c8b3-48e5-95a5-916f132c4ec6,good product
1ba20a7a-42d4-496e-87fe-b11739b6af74,good product
72dbfe5a-95b2-4a32-b26e-ffa659828a36,not a good quality
d9f5331d-12de-4c72-9a69-d3fd0fc3b751,wonderful
0d1e5112-28de-4b39-87c9-a2f72e9faeab,its not good you should improve quality
1dc39d15-ab0a-492b-8139-b9950ecb3f3c,found defective
0af190eb-e651-4832-b8e2-a92430da3f19,now i am using after few days i am writing my new opinion
7b08f619-4a83-403e-acea-c2bea419ca17,dont buy this product leaking problem
2139bc5b-53da-4a14-b184-d3311c194ee8,heating problem
d9f78b92-e949-4109-a3a1-ab8ec3fefff3,so uncomfortable
4452169b-6eaa-47c9-b6b8-b7692e9d4296,only 26 days iam buy this mobile after 26 days my phone front camera not working headphone jack not working normal calling speaker not working totally waste of money worst product dont buy this phone poco cheated customers inmotion
6f689e17-b44c-421c-8302-7e812a68c4e1,not so good as expected 
fe844e3d-0c3f-45b5-ad0f-c2632d87150f,not satisfy this product
9fab1b34-f9b7-4dbf-a56a-aa4779ec3547,waste product dont buy
7e07d844-39af-486d-9008-f76ec6d670e7,nice product best tab at this price range camera could have been better great service by flipkart received product on time and in good condition go for it guys 
75cceeb1-fc3a-4595-be3d-cad141a6d69f,nice product
3e795639-7611-4b89-8a70-0c4e159d0680,exactly what i wanted good quality
e89f4522-e7bd-4967-9913-c187500f79ab,good
508ef925-837e-4519-a670-6eb607e98931,so so not good very costly
f85ef4cd-68cc-4123-9d38-52b4d7c2a45c,dont buy this product
0dc3c38e-1a87-4e8b-992c-8fa4ab434155,the best ever service and the best ever product got delivered on time and installed by the service engineer kudos to flipkart and livpure
4b60a601-0cf8-45ad-a70e-151fa32ba1b3,good
9d971713-3d01-41a7-9ea4-1a5e1e70a560,very bad
b8af71bd-ab09-4753-948f-0befa9e741fb,but we feel that colour is not permanent
a0cb555b-d157-44ed-a678-22e0e964ff1a,nice
d28c72de-9fa1-40ad-a394-322955607c86,picture quality not good
9fa590dc-973b-4668-976d-34dc5ed36829,nice
c7a28178-73bd-4753-a4fd-4f314292c1f2,very nice product in this price plz go for it
23f1bf99-8349-486a-987f-3fee9239d027,very bad quality it is lake a basketball
f08b8368-7704-40cc-b135-42cac307ccdb,good
8ffc6c82-fa9c-40d6-be52-8b1c0e632440,third class low quality products dont buy this people
d821de77-87f5-4eca-bdff-860388587224,very nice food processor
fc0ca2b3-d589-4d88-a518-29bac267cab5,good product
3614d049-b046-4ddf-bdd2-ce897b5293b4,blazzer first impression is good but i actually ordered black color and they actually delivered the navy blue color which is not good yet still they delivered a good product
ce7c8092-2ae5-4ae3-bde9-d095b30bbea2,good quality of sound but it need youtube subscription for better music search so you need to consider before purchase
8b7aba90-87bb-4227-a8dc-5337a2e16edd,nice one
354828d0-79df-425b-a7f2-2270e02e7350,ball is very hard and a football should not be that hard moreover the ball got damaged after 23 weeks of use i never used it for any matches just used it for practicing penalty and free kicks still the ball couldnt even last for one month so i dont suggest this to anyone go for something better
da33816a-4794-4246-9ea9-10960cd8ce5c,i am really very disappointed from the flipkart service they deliver the wrong colored productwhich i ordered for my sister for raksha bandhan when i asked for a exchange the guy on call promised to deliver the right product after 4 days but when i called them for the status of the producton the day it was supposed to be delivered they informed me that they are not having the product and that they have start processing the process for the refundthat too without informing me left wi
f5a66c7e-b038-408d-b3be-7310ce1a83b1,reasons for not liking it1 low sound is awesome but upper sound is very bad2 it doesnt work properly when i tell it to do3 it needs a separate wifi source and need to connect both the phone and google home nest to the same wifi if someone dont have a wifi router then this item is not for his use it should be connected to blooth but it is missing buy the item if u have a wifi router at home
11dcb675-5a8d-49e0-9d20-038cb92d7d3e,product is good but its realme branding has been erased for the very first use
7f9171c8-f64c-4100-a0aa-7962215aa1aa,dont buy it is old object
